Department Family,Entity,Invoice Date,Consolidated Expense Type,Expense area,Supplier,Purchase Invoice Number,Invoice Value,Description
Department of Health,NHS Digital ,3/29/2018,Course Fees,Various,KNOWLEDGE ACADEMY LTD (THE),259720,"28,756.80",Training Course Fees
Department of Health,NHS Digital ,3/29/2018,Course Fees,Various,KNOWLEDGE ACADEMY LTD (THE),259725,"27,316.80",Training Course Fees
Department of Health,NHS Digital ,5/4/2018,Course Fees,Various,KNOWLEDGE ACADEMY LTD (THE),263204,"28,756.80",Training Course Fees
Department of Health,NHS Digital ,3/29/2018,Course Fees,Various,KNOWLEDGE ACADEMY LTD (THE),PCRS0014203,"-31,952.00",Training Course Fees
Department of Health,NHS Digital ,5/4/2018,Course Fees,Various,KNOWLEDGE ACADEMY LTD (THE),PCRS0015114,"-28,756.80",Training Course Fees
Department of Health,NHS Digital ,3/19/2018,Course Fees,Corporate Services,KORN FERRY HAY GROUP LTD,1195024468,"124,848.00",Training Course Fees
Department of Health,NHS Digital ,4/9/2018,Course Fees,Various,KORN FERRY HAY GROUP LTD,1195025657,"-50,183.60",Training Course Fees
Department of Health,NHS Digital ,4/9/2018,Course Fees,Corporate Services,KORN FERRY HAY GROUP LTD,1195025658,"50,183.60",Training Course Fees
Department of Health,NHS Digital ,4/9/2018,Course Fees,Corporate Services,KORN FERRY HAY GROUP LTD,1195025660,"49,980.80",Training Course Fees
Department of Health,NHS Digital ,11/12/2018,Course Fees,Various,KORN FERRY HAY GROUP LTD,1195032634,"40,866.00",Training Course Fees
Department of Health ,NHS Digital ,1/25/2019,Course Fees,Corporate Services,KORN FERRY HAY GROUP LTD,1195035163,"40,866.00",Training Course Fees
Department of Health,NHS Digital ,3/29/2018,Course Fees,Corporate Services,KPMG LLP,5501630607,"30,387.00",Training Course Fees
Department of Health,NHS Digital ,3/31/2018,Workpackage,Live Services (incl. Cyber Security),KPMG LLP,5501637395,"223,299.60",Workpackages
Department of Health,NHS Digital ,7/31/2018,Consultancy,Live Services (incl. Cyber Security),KPMG LLP,5501714456,"58,992.00",Consultancy
Department of Health ,NHS Digital ,3/25/2019,Course Fees,Corporate Services,KPMG LLP,5501851103,"29,032.80",Training Course Fees
Department of Health,NHS Digital ,4/30/2018,Course Fees,Corporate Services,KPMG LLP,5900058465,"-30,387.00",Training Course Fees
Department of Health,NHS Digital ,7/21/2018,Workpackage,Product Development,LEEDS & YORK PARTNERSHIP NHS FOUNDATION TRUST,988981,"50,000.00",Workpackages
Department of Health ,NHS Digital ,3/3/2019,Rates,Corporate Services,LEEDS CITY COUNCIL,9.01E+19,"29,232.00",Rates
Department of Health ,NHS Digital ,3/3/2019,Rates,Corporate Services,LEEDS CITY COUNCIL,9.01E+20,"194,116.46",Rates
Department of Health,NHS Digital ,4/6/2018,Rates,Corporate Services,LEEDS CITY COUNCIL,9.01E+19,"-32,564.76",Rates
Department of Health,NHS Digital ,4/6/2018,Rates,Corporate Services,LEEDS CITY COUNCIL,9.01E+19,"-33,140.74",Rates
Department of Health,NHS Digital ,4/6/2018,Rates,Corporate Services,LEEDS CITY COUNCIL,9.01E+19,"-34,510.00",Rates
Department of Health,NHS Digital ,4/6/2018,Rates,Corporate Services,LEEDS CITY COUNCIL,9.01E+19,"-34,790.00",Rates
Department of Health ,NHS Digital ,3/3/2019,Rates,Corporate Services,LEEDS CITY COUNCIL,9.01E+19,"66,521.62",Rates
Department of Health,NHS Digital ,3/3/2018,Rates,Corporate Services,LEEDS CITY COUNCIL,9.01E+19,"35,003.00",Rates
Department of Health ,NHS Digital ,3/3/2019,Rates,Corporate Services,LEEDS CITY COUNCIL,9.01E+19,"35,784.00",Rates
Department of Health ,NHS Digital ,3/3/2019,Rates,Corporate Services,LEEDS CITY COUNCIL,9.01E+19,"72,486.44",Rates
Department of Health ,NHS Digital ,3/3/2019,Rates,Corporate Services,LEEDS CITY COUNCIL,9.02E+20,"303,239.03",Rates
Department of Health ,NHS Digital ,3/3/2019,Rates,Corporate Services,LEEDS CITY COUNCIL,9.02E+20,"234,211.75",Rates
Department of Health ,NHS Digital ,3/3/2019,Rates,Corporate Services,LEEDS CITY COUNCIL,9.02E+19,"75,699.26",Rates
Department of Health ,NHS Digital ,3/3/2019,Rates,Corporate Services,LEEDS CITY COUNCIL,9.02E+20,"113,904.00",Rates
Department of Health ,NHS Digital ,3/3/2019,Rates,Corporate Services,LEEDS CITY COUNCIL,9.02E+20,"120,960.00",Rates
Department of Health ,NHS Digital ,3/3/2019,Rates,Corporate Services,LEEDS CITY COUNCIL,9.02E+20,"120,960.00",Rates
Department of Health,NHS Digital ,4/11/2018,Workpackage,Platforms and Infrastructure,LEIDOS INNOVATIONS UK LTD,90022617,"25,115.58",Workpackages
Department of Health,NHS Digital ,4/11/2018,Workpackage,Platforms and Infrastructure,LEIDOS INNOVATIONS UK LTD,90022619,"167,854.27",Workpackages
Department of Health,NHS Digital ,5/11/2018,Workpackage,"Data, Insights and Statistics",LEIDOS INNOVATIONS UK LTD,90022846,"32,723.62",Workpackages
Department of Health,NHS Digital ,5/11/2018,Workpackage,"Data, Insights and Statistics",LEIDOS INNOVATIONS UK LTD,90022847,"154,242.22",Workpackages
Department of Health,NHS Digital ,5/15/2018,Workpackage,Product Development,LEIDOS INNOVATIONS UK LTD,90022861,"41,351.10",Workpackages
Department of Health,NHS Digital ,5/15/2018,Workpackage,Platforms and Infrastructure,LEIDOS INNOVATIONS UK LTD,90022862,"69,947.88",Workpackages
Department of Health,NHS Digital ,5/18/2018,Workpackage,"Data, Insights and Statistics",LEIDOS INNOVATIONS UK LTD,90022908,"52,724.08",Workpackages
Department of Health,NHS Digital ,6/11/2018,Workpackage,Product Development,LEIDOS INNOVATIONS UK LTD,90023089,"41,031.00",Workpackages
Department of Health,NHS Digital ,7/6/2018,Workpackage,Product Development,LEIDOS INNOVATIONS UK LTD,90023284,"42,020.40",Workpackages
Department of Health,NHS Digital ,9/29/2018,Workpackage,Product Development,LEIDOS INNOVATIONS UK LTD,90023502,"45,628.80",Workpackages
Department of Health,NHS Digital ,9/10/2018,Workpackage,Product Development,LEIDOS INNOVATIONS UK LTD,90023770,"43,126.20",Workpackages
Department of Health,NHS Digital ,10/8/2018,Workpackage,Product Development,LEIDOS INNOVATIONS UK LTD,90023957,"33,057.60",Workpackages
Department of Health,NHS Digital ,11/5/2018,Workpackage,Product Development,LEIDOS INNOVATIONS UK LTD,90024163,"28,634.40",Workpackages
Department Of Health ,NHS Digital ,12/6/2018,Workpackage,Product Development,LEIDOS INNOVATIONS UK LTD,90024436,"31,154.46",Workpackages
Department of Health ,NHS Digital ,3/5/2019,Workpackage,Product Development,LEIDOS INNOVATIONS UK LTD,INV02000027627,"26,510.10",Workpackages
Department of Health ,NHS Digital ,3/25/2019,Workpackage,Product Development,LEIDOS INNOVATIONS UK LTD,INV02000027881,"53,846.64",Workpackages
Department of Health ,NHS Digital ,1/30/2019,Workpackage,Product Development,LINCOLN RECRUITMENT TA VANRATH FINANCIAL SELECTION,59577CAN,"31,680.00",Workpackages
Department of Health ,NHS Digital ,10/14/2018,Marketing,Corporate Services,LINKEDIN IRELAND,78110358083,"31,482.40",Staff Recruitment Advertising & Agency Fees
Department of Health,NHS Digital ,6/1/2018,Rent,Corporate Services,LOXTON DEVELOPMENTS LTD,A7552,"49,076.23",Rent / Service Charge / Storage (not Documents/Records)
Department Of Health ,NHS Digital ,11/21/2018,Rent,Corporate Services,LOXTON DEVELOPMENTS LTD,A7916,"29,075.89",Rent / Service Charge / Storage (not Documents/Records)
Department Of Health ,NHS Digital ,12/1/2018,Rent,Corporate Services,LOXTON DEVELOPMENTS LTD,A8003,"31,180.56",Rent / Service Charge / Storage (not Documents/Records)
Department of Health ,NHS Digital ,3/1/2019,Rent,Corporate Services,LOXTON DEVELOPMENTS LTD,A8166,"31,180.56",Rent / Service Charge / Storage (not Documents/Records)
Department of Health,NHS Digital ,7/31/2018,Secondees,Platforms and Infrastructure,MAIDSTONE&TUNBRIDGE WELLS NHS TRUST,4000111489,"56,608.00",Secondees
Department of Health ,NHS Digital ,3/19/2019,Secondees,Platforms and Infrastructure,MAIDSTONE&TUNBRIDGE WELLS NHS TRUST,4000115796,"38,845.83",Secondees
Department of Health,NHS Digital ,8/7/2018,Data Purchases and Services,"Data, Insights and Statistics",MARKET & OPINION RESEARCH INTERNATIONAL LTD,18001246,"51,475.35",Surveys and Purchase of Data
Department of Health,NHS Digital ,9/14/2018,Data Purchases and Services,"Data, Insights and Statistics",MARKET & OPINION RESEARCH INTERNATIONAL LTD,18001504,"92,827.35",Surveys and Purchase of Data
Department Of Health ,NHS Digital ,12/13/2018,Data Purchases and Services,"Data, Insights and Statistics",MARKET & OPINION RESEARCH INTERNATIONAL LTD,18002066,"89,349.62",Surveys and Purchase of Data
Department of Health,NHS Digital ,4/11/2018,Workpackage,Product Development,MASTEK LTD,90341996,"44,250.00",Workpackages
Department of Health,NHS Digital ,4/11/2018,Workpackage,Product Development,MASTEK LTD,90341997,"25,656.00",Workpackages
Department of Health,NHS Digital ,4/11/2018,Workpackage,Product Development,MASTEK LTD,90341998,"68,580.00",Workpackages
Department of Health,NHS Digital ,4/11/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90341999,"28,751.25",Workpackages
Department of Health,NHS Digital ,4/11/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90342000,"120,892.20",Workpackages
Department of Health,NHS Digital ,4/11/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90342001,"36,300.00",Workpackages
Department of Health,NHS Digital ,5/15/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90342281,"27,582.50",Workpackages
Department of Health,NHS Digital ,5/15/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90342282,"79,094.40",Workpackages
Department of Health,NHS Digital ,5/15/2018,Workpackage,Product Development,MASTEK LTD,90342284,"75,720.00",Workpackages
Department of Health,NHS Digital ,5/15/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90342286,"44,052.00",Workpackages
Department of Health,NHS Digital ,6/14/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90342393,"90,921.60",Workpackages
Department of Health,NHS Digital ,6/14/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90342394,"27,115.00",Workpackages
Department of Health,NHS Digital ,6/19/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90342412,"29,736.00",Workpackages
Department of Health,NHS Digital ,6/19/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90342414,"28,728.00",Workpackages
Department of Health,NHS Digital ,6/20/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90342433,"48,684.00",Workpackages
Department of Health,NHS Digital ,6/29/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90342554,"72,720.00",Workpackages
Department of Health,NHS Digital ,7/12/2018,Workpackage,Product Development,MASTEK LTD,90342585,"62,130.00",Workpackages
Department of Health,NHS Digital ,7/12/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90342587,"73,800.00",Workpackages
Department of Health,NHS Digital ,7/16/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90342630,"29,028.00",Workpackages
Department of Health,NHS Digital ,7/16/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90342633,"27,996.00",Workpackages
Department of Health,NHS Digital ,7/16/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90342634,"99,838.20",Workpackages
Department of Health,NHS Digital ,7/31/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90342848,"80,370.00",Workpackages
Department of Health,NHS Digital ,8/16/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90342849,"29,028.00",Workpackages
Department of Health,NHS Digital ,7/31/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90342851,"28,860.00",Workpackages
Department of Health,NHS Digital ,8/31/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90342984,"94,548.30",Workpackages
Department of Health,NHS Digital ,8/31/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90342985,"32,652.00",Workpackages
Department of Health,NHS Digital ,9/15/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343033,"80,694.00",Workpackages
Department of Health,NHS Digital ,9/15/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343034,"128,113.20",Workpackages
Department of Health,NHS Digital ,9/15/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343035,"133,831.20",Workpackages
Department of Health,NHS Digital ,9/15/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343036,"90,229.20",Workpackages
Department of Health,NHS Digital ,9/15/2018,Workpackage,Product Development,MASTEK LTD,90343037,"75,456.00",Workpackages
Department of Health,NHS Digital ,9/15/2018,Workpackage,Product Development,MASTEK LTD,90343038,"35,460.00",Workpackages
Department of Health,NHS Digital ,9/15/2018,Workpackage,Product Development,MASTEK LTD,90343040,"36,168.00",Workpackages
Department of Health,NHS Digital ,9/17/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343061,"96,627.30",Workpackages
Department of Health,NHS Digital ,9/19/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343065,"30,444.00",Workpackages
Department of Health,NHS Digital ,9/19/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343067,"38,007.00",Workpackages
Department of Health,NHS Digital ,9/19/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343068,"78,660.00",Workpackages
Department of Health,NHS Digital ,9/19/2018,Workpackage,Product Development,MASTEK LTD,90343073,"33,936.00",Workpackages
Department of Health,NHS Digital ,9/20/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343102,"44,880.00",Workpackages
Department of Health,NHS Digital ,10/22/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343360,"95,680.20",Workpackages
Department of Health,NHS Digital ,10/22/2018,Workpackage,Product Development,MASTEK LTD,90343363,"32,880.00",Workpackages
Department of Health,NHS Digital ,10/22/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343364,"43,440.00",Workpackages
Department of Health,NHS Digital ,10/22/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343366,"76,540.50",Workpackages
Department of Health,NHS Digital ,10/22/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343367,"27,612.00",Workpackages
Department of Health,NHS Digital ,10/22/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343369,"54,594.00",Workpackages
Department of Health,NHS Digital ,11/21/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343654,"47,760.00",Workpackages
Department of Health,NHS Digital ,11/21/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343662,"30,444.00",Workpackages
Department of Health,NHS Digital ,11/21/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343664,"68,880.00",Workpackages
Department of Health,NHS Digital ,11/22/2018,Workpackage,Product Development,MASTEK LTD,90343669,"37,812.00",Workpackages
Department Of Health ,NHS Digital ,12/28/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343906,"83,275.50",Workpackages
Department Of Health ,NHS Digital ,12/28/2018,Workpackage,Product Development,MASTEK LTD,90343908,"36,168.00",Workpackages
Department Of Health ,NHS Digital ,12/28/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343911,"58,236.00",Workpackages
Department Of Health ,NHS Digital ,12/28/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343913,"44,712.00",Workpackages
Department Of Health ,NHS Digital ,12/28/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343917,"92,016.00",Workpackages
Department Of Health ,NHS Digital ,12/28/2018,Workpackage,Platforms and Infrastructure,MASTEK LTD,90343918,"92,880.00",Workpackages
Department of Health ,NHS Digital ,1/31/2019,Workpackage,Platforms and Infrastructure,MASTEK LTD,90344162,"52,140.00",Workpackages
Department of Health ,NHS Digital ,1/31/2019,Workpackage,Platforms and Infrastructure,MASTEK LTD,90344257,"81,066.00",Workpackages
Department of Health ,NHS Digital ,2/20/2019,Workpackage,Platforms and Infrastructure,MASTEK LTD,90344387,"59,082.00",Workpackages
Department of Health ,NHS Digital ,2/19/2019,Workpackage,Platforms and Infrastructure,MASTEK LTD,90344389,"43,029.00",Workpackages
Department of Health ,NHS Digital ,2/19/2019,Workpackage,Platforms and Infrastructure,MASTEK LTD,90344390,"104,624.40",Workpackages
Department of Health ,NHS Digital ,2/28/2019,Workpackage,Platforms and Infrastructure,MASTEK LTD,90344451,"90,426.00",Workpackages
Department of Health ,NHS Digital ,2/28/2019,Workpackage,Platforms and Infrastructure,MASTEK LTD,90344452,"29,862.00",Workpackages
Department of Health ,NHS Digital ,3/16/2019,Workpackage,Platforms and Infrastructure,MASTEK LTD,90344575,"41,382.00",Workpackages
Department of Health ,NHS Digital ,3/16/2019,Workpackage,Platforms and Infrastructure,MASTEK LTD,90344576,"33,648.00",Workpackages
